  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1206
  ntimesa = 1206
  detb = 30.6261662733299254
 Z layer 1 =  20.2474

 Z layer 2 =  17.8206

 Z layer 3 =  15.3822

 Z layer 4 =  13.0000

 Z12 =   2.4269

 Z23 =   2.4383

 Z34 =   2.3822

 temp, average ekin =   254.551263      .394854
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
    1   111.3436    .172713   4.99987   6.00000   5.25049    .82072  20.23058   2.42729
    2   111.6812    .173237   4.99990   5.97012   5.25743    .82472  20.23057   2.42730
    3   111.8949    .173569   4.99993   5.94023   5.26436    .82873  20.23057   2.42730
    4   112.0908    .173872   4.99999   5.91035   5.27130    .83273  20.23056   2.42731
    5   112.3093    .174211   5.00003   5.88046   5.27823    .83673  20.23055   2.42732
    6   112.5351    .174562   5.00003   5.85058   5.28517    .84074  20.23055   2.42732
    7   112.7784    .174939   5.00006   5.82069   5.29210    .84474  20.23054   2.42733
    8   112.9536    .175211   5.00012   5.79081   5.29904    .84874  20.23053   2.42734
    9   113.1569    .175526   5.00015   5.76092   5.30597    .85275  20.23052   2.42735
   10   113.4095    .175918   5.00018   5.73104   5.31291    .85675  20.23052   2.42735
   11   113.5799    .176182   5.00021   5.70115   5.31984    .86076  20.23051   2.42736
   12   113.8315    .176573   5.00028   5.67127   5.32677    .86476  20.23050   2.42737
   13   114.0912    .176975   5.00034   5.64138   5.33371    .86876  20.23050   2.42738
   14   114.2564    .177232   5.00037   5.61149   5.34064    .87277  20.23049   2.42738
   15   114.4505    .177533   5.00040   5.58161   5.34758    .87677  20.23048   2.42739
   16   114.7183    .177948   5.00047   5.55172   5.35451    .88077  20.23048   2.42740
   17   114.9472    .178303   5.00053   5.52183   5.36145    .88478  20.23047   2.42741
   18   115.1416    .178605   5.00056   5.49195   5.36838    .88878  20.23047   2.42741
   19   115.3686    .178957   5.00066   5.46206   5.37532    .89279  20.23046   2.42742
   20   115.5667    .179264   5.00072   5.43217   5.38225    .89679  20.23045   2.42743
   21   115.7858    .179604   5.00075   5.40229   5.38919    .90079  20.23045   2.42744
   22   116.0109    .179953   5.00082   5.37240   5.39612    .90480  20.23044   2.42745
   23   116.2246    .180285   5.00088   5.34251   5.40306    .90880  20.23043   2.42745
   24   116.4420    .180622   5.00094   5.31263   5.40999    .91280  20.23043   2.42746
   25   116.6754    .180984   5.00101   5.28274   5.41692    .91681  20.23042   2.42747
   26   116.8896    .181316   5.00107   5.25285   5.42386    .92081  20.23042   2.42748
   27   117.0964    .181637   5.00113   5.22296   5.43079    .92482  20.23041   2.42749
   28   117.3064    .181963   5.00119   5.19307   5.43773    .92882  20.23040   2.42749
   29   117.5403    .182326   5.00126   5.16318   5.44466    .93282  20.23040   2.42750
   30   117.7650    .182674   5.00135   5.13329   5.45160    .93683  20.23039   2.42751
   31   117.9723    .182996   5.00142   5.10341   5.45853    .94083  20.23039   2.42752
   32   118.2227    .183384   5.00148   5.07352   5.46547    .94484  20.23038   2.42753
   33   118.4306    .183707   5.00157   5.04363   5.47240    .94884  20.23038   2.42754
   34   118.6177    .183997   5.00164   5.01374   5.47934    .95284  20.23037   2.42754
   35   118.8604    .184373   5.00173   4.98385   5.48627    .95685  20.23037   2.42755
   36   119.0584    .184680   5.00180   4.95396   5.49321    .96085  20.23036   2.42756
   37   119.2407    .184963   5.00186   4.92407   5.50014    .96485  20.23035   2.42757
   38   119.4985    .185363   5.00196   4.89417   5.50707    .96886  20.23035   2.42758
   39   119.7403    .185738   5.00202   4.86428   5.51401    .97286  20.23034   2.42759
   40   119.9451    .186056   5.00208   4.83439   5.52094    .97687  20.23034   2.42759
   41   120.1616    .186392   5.00218   4.80450   5.52788    .98087  20.23033   2.42760
   42   120.3696    .186714   5.00227   4.77461   5.53481    .98487  20.23033   2.42761
   43   120.6272    .187114   5.00230   4.74472   5.54175    .98888  20.23032   2.42762
   44   120.8301    .187429   5.00240   4.71482   5.54868    .99288  20.23032   2.42763
   45   121.0173    .187719   5.00250   4.68493   5.55562    .99688  20.23031   2.42764
   46   121.2514    .188082   5.00256   4.65504   5.56255   1.00089  20.23031   2.42765
   47   121.4686    .188419   5.00262   4.62515   5.56949   1.00489  20.23030   2.42766
   48   121.6704    .188732   5.00269   4.59525   5.57642   1.00890  20.23030   2.42766
   49   121.9140    .189110   5.00278   4.56536   5.58336   1.01290  20.23029   2.42767
   50   122.1548    .189483   5.00285   4.53546   5.59029   1.01690  20.23029   2.42768
   51   122.3228    .189744   5.00294   4.50557   5.59722   1.02091  20.23028   2.42769
   52   122.5467    .190091   5.00301   4.47568   5.60416   1.02491  20.23028   2.42770
   53   122.7729    .190442   5.00307   4.44578   5.61109   1.02892  20.23027   2.42771
   54   122.9945    .190786   5.00314   4.41589   5.61803   1.03292  20.23027   2.42772
   55   123.2063    .191115   5.00320   4.38599   5.62496   1.03692  20.23027   2.42773
   56   123.4384    .191474   5.00329   4.35610   5.63190   1.04093  20.23026   2.42774
   57   123.6732    .191839   5.00336   4.32620   5.63883   1.04493  20.23026   2.42775
   58   123.8716    .192147   5.00342   4.29631   5.64577   1.04893  20.23025   2.42775
   59   124.0657    .192448   5.00349   4.26641   5.65270   1.05294  20.23025   2.42776
   60   124.2761    .192774   5.00355   4.23651   5.65964   1.05694  20.23024   2.42777
   61   124.4978    .193118   5.00362   4.20662   5.66657   1.06095  20.23024   2.42778
   62   124.7397    .193493   5.00368   4.17672   5.67351   1.06495  20.23024   2.42779
   63   124.9691    .193849   5.00374   4.14682   5.68044   1.06895  20.23023   2.42780
   64   125.1732    .194165   5.00384   4.11693   5.68738   1.07296  20.23023   2.42781
   65   125.3684    .194468   5.00390   4.08703   5.69431   1.07696  20.23022   2.42782
   66   125.5789    .194795   5.00397   4.05713   5.70124   1.08097  20.23022   2.42783
   67   125.8003    .195138   5.00406   4.02724   5.70818   1.08497  20.23021   2.42784
   68   126.0443    .195517   5.00413   3.99734   5.71511   1.08897  20.23021   2.42785
   69   126.2671    .195862   5.00422   3.96744   5.72205   1.09298  20.23021   2.42786
   70   126.4607    .196163   5.00432   3.93754   5.72898   1.09698  20.23020   2.42787
   71   126.6468    .196451   5.00441   3.90764   5.73592   1.10099  20.23020   2.42788
   72   126.8808    .196814   5.00451   3.87774   5.74285   1.10499  20.23020   2.42789
   73   127.1171    .197181   5.00460   3.84784   5.74979   1.10899  20.23019   2.42790
   74   127.3344    .197518   5.00473   3.81794   5.75672   1.11300  20.23019   2.42791
   75   127.5206    .197807   5.00486   3.78804   5.76366   1.11700  20.23018   2.42792
   76   127.7097    .198100   5.00498   3.75814   5.77059   1.12101  20.23018   2.42793
   77   127.9651    .198496   5.00514   3.72824   5.77753   1.12501  20.23018   2.42794
   78   128.1713    .198816   5.00530   3.69834   5.78446   1.12901  20.23017   2.42795
   79   128.3760    .199134   5.00546   3.66844   5.79140   1.13302  20.23017   2.42796
   80   128.5965    .199476   5.00565   3.63854   5.79833   1.13702  20.23017   2.42797
   81   128.8253    .199831   5.00587   3.60863   5.80527   1.14102  20.23016   2.42798
   82   129.0145    .200124   5.00615   3.57873   5.81220   1.14503  20.23016   2.42799
   83   129.2194    .200442   5.00643   3.54883   5.81914   1.14903  20.23016   2.42800
   84   129.4309    .200770   5.00669   3.51892   5.82607   1.15303  20.23015   2.42801
   85   129.6482    .201107   5.00703   3.48901   5.83301   1.15704  20.23015   2.42802
   86   129.9052    .201506   5.00744   3.45911   5.83994   1.16104  20.23015   2.42803
   87   130.1275    .201850   5.00785   3.42920   5.84688   1.16504  20.23015   2.42804
   88   130.2945    .202110   5.00831   3.39929   5.85381   1.16905  20.23014   2.42805
   89   130.4760    .202391   5.00885   3.36937   5.86075   1.17305  20.23014   2.42806
   90   130.7203    .202770   5.00944   3.33946   5.86768   1.17705  20.23014   2.42807
   91   130.9271    .203091   5.01010   3.30954   5.87462   1.18105  20.23013   2.42808
   92   131.1358    .203415   5.01082   3.27962   5.88155   1.18506  20.23013   2.42809
   93   131.3265    .203710   5.01166   3.24970   5.88849   1.18906  20.23013   2.42810
   94   131.5479    .204054   5.01260   3.21978   5.89542   1.19306  20.23013   2.42811
   95   131.7841    .204420   5.01363   3.18985   5.90236   1.19706  20.23012   2.42812
   96   131.9659    .204702   5.01481   3.15992   5.90929   1.20106  20.23012   2.42813
   97   132.1622    .205007   5.01613   3.12999   5.91623   1.20506  20.23012   2.42814
   98   132.3558    .205307   5.01759   3.10005   5.92316   1.20906  20.23012   2.42815
   99   132.5817    .205657   5.01924   3.07010   5.93010   1.21306  20.23011   2.42816
  100   132.8071    .206007   5.02105   3.04015   5.93703   1.21706  20.23011   2.42817
  101   133.0193    .206336   5.02311   3.01020   5.94397   1.22105  20.23011   2.42818
  102   133.2131    .206637   5.02545   2.98024   5.95090   1.22505  20.23011   2.42819
  103   133.4195    .206957   5.02804   2.95026   5.95784   1.22904  20.23010   2.42821
  104   133.6289    .207282   5.03094   2.92028   5.96478   1.23304  20.23010   2.42822
  105   133.8037    .207553   5.03415   2.89029   5.97171   1.23703  20.23010   2.42823
  106   134.0165    .207883   5.03777   2.86029   5.97865   1.24102  20.23010   2.42824
  107   134.2177    .208195   5.04185   2.83028   5.98558   1.24500  20.23009   2.42825
  108   134.4276    .208521   5.04641   2.80025   5.99252   1.24899  20.23009   2.42826
  109   134.6598    .208881   5.05150   2.77021   5.99945   1.25297  20.23009   2.42827
  110   134.8273    .209141   5.05718   2.74015   6.00639   1.25696  20.23009   2.42828
  111   135.0013    .209411   5.06352   2.71007   6.01333   1.26093  20.23009   2.42829
  112   135.2218    .209753   5.07059   2.67997   6.02026   1.26491  20.23009   2.42830
  113   135.4338    .210082   5.07850   2.64984   6.02720   1.26888  20.23008   2.42832
  114   135.6428    .210406   5.08733   2.61969   6.03413   1.27284  20.23008   2.42833
  115   135.7921    .210637   5.09714   2.58950   6.04107   1.27681  20.23008   2.42834
  116   135.9728    .210918   5.10799   2.55929   6.04800   1.28076  20.23008   2.42835
  117   136.1994    .211269   5.11998   2.52903   6.05494   1.28471  20.23008   2.42836
  118   136.4057    .211589   5.13328   2.49874   6.06188   1.28866  20.23008   2.42837
  119   136.6294    .211936   5.14791   2.46840   6.06881   1.29259  20.23008   2.42838
  120   136.7617    .212141   5.16405   2.43801   6.07575   1.29652  20.23007   2.42840
  121   136.9576    .212445   5.18183   2.40757   6.08268   1.30044  20.23007   2.42841
  122   137.1480    .212741   5.20128   2.37707   6.08962   1.30435  20.23007   2.42842
  123   137.3260    .213017   5.22265   2.34650   6.09656   1.30825  20.23007   2.42843
  124   137.5333    .213338   5.24601   2.31586   6.10349   1.31213  20.23007   2.42844
  125   137.6852    .213574   5.27142   2.28514   6.11043   1.31600  20.23007   2.42846
  126   137.9019    .213910   5.29912   2.25434   6.11736   1.31986  20.23007   2.42847
  127   138.0751    .214179   5.32923   2.22345   6.12430   1.32370  20.23007   2.42848
  128   138.2062    .214382   5.36217   2.19245   6.13123   1.32753  20.23007   2.42849
  129   138.4198    .214713   5.39817   2.16135   6.13817   1.33133  20.23007   2.42851
  130   138.6397    .215054   5.43741   2.13013   6.14511   1.33512  20.23007   2.42852
  131   138.7554    .215234   5.48004   2.09879   6.15204   1.33888  20.23007   2.42853
  132   138.9060    .215468   5.52511   2.06730   6.15898   1.34261  20.23007   2.42854
  133   139.0833    .215743   5.57146   2.03568   6.16591   1.34632  20.23007   2.42856
  134   139.2894    .216062   5.61865   2.00390   6.17285   1.35000  20.23007   2.42857
  135   139.4637    .216333   5.66657   1.97199   6.17979   1.35365  20.23007   2.42858
  136   139.5885    .216526   5.71521   1.93992   6.18673   1.35727  20.23008   2.42860
  137   139.7775    .216819   5.76455   1.90771   6.19366   1.36087  20.23008   2.42861
  138   139.9282    .217053   5.81448   1.87534   6.20060   1.36443  20.23008   2.42863
  139   140.0583    .217255   5.86503   1.84282   6.20754   1.36796  20.23008   2.42864
  140   140.2530    .217557   5.91610   1.81015   6.21448   1.37145  20.23008   2.42865
  141   140.4205    .217817   5.96755   1.77733   6.22143   1.37492  20.23009   2.42867
  142   140.5702    .218049   6.01940   1.74435   6.22837   1.37835  20.23009   2.42868
  143   140.7198    .218281   6.07143   1.71122   6.23532   1.38174  20.23009   2.42870
  144   140.8448    .218475   6.12355   1.67794   6.24226   1.38510  20.23009   2.42871
  145   141.0480    .218790   6.17570   1.64451   6.24921   1.38843  20.23010   2.42873
  146   141.1798    .218995   6.22762   1.61092   6.25616   1.39172  20.23010   2.42874
  147   141.3216    .219214   6.27929   1.57718   6.26312   1.39497  20.23011   2.42876
  148   141.4946    .219483   6.33059   1.54329   6.27007   1.39819  20.23011   2.42877
  149   141.6407    .219710   6.38124   1.50926   6.27703   1.40138  20.23011   2.42879
  150   141.7571    .219890   6.43105   1.47508   6.28400   1.40453  20.23012   2.42881
  151   141.9023    .220115   6.47987   1.44077   6.29097   1.40765  20.23012   2.42882
  152   142.0776    .220387   6.52744   1.40631   6.29794   1.41074  20.23013   2.42884
