 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.7611   -24.8921   -24.8114     5.1310   .999   16
     .10   -19.7610   -24.8922   -24.8116     5.1312  1.000    8
     .20   -19.7611   -24.8924   -24.8118     5.1314  1.000    9
     .30   -19.7610   -24.8926   -24.8119     5.1316  1.000    6
     .40   -19.7610   -24.8928   -24.8121     5.1318  1.000    7
     .50   -19.7610   -24.8930   -24.8123     5.1320  1.000    6
     .60   -19.7611   -24.8932   -24.8126     5.1322  1.000    8
     .70   -19.7611   -24.8934   -24.8128     5.1324  1.000    8
     .80   -19.7610   -24.8936   -24.8129     5.1326  1.000    6
     .90   -19.7611   -24.8938   -24.8132     5.1328  1.000    8
    1.00   -19.7610   -24.8940   -24.8134     5.1330  1.000    7
    1.10   -19.7610   -24.8942   -24.8135     5.1332  1.000    7
    1.20   -19.7611   -24.8944   -24.8138     5.1334  1.000    7
    1.30   -19.7610   -24.8946   -24.8140     5.1336  1.000    6
    1.40   -19.7610   -24.8949   -24.8142     5.1338  1.000    7
    1.50   -19.7610   -24.8951   -24.8144     5.1340  1.000    6
    1.60   -19.7610   -24.8953   -24.8146     5.1343  1.000    7
    1.70   -19.7610   -24.8955   -24.8148     5.1345  1.000    6
    1.80   -19.7610   -24.8957   -24.8150     5.1347  1.000    6
    1.90   -19.7610   -24.8960   -24.8153     5.1349  1.000    7
    2.00   -19.7610   -24.8962   -24.8155     5.1351  1.000    8
    2.10   -19.7610   -24.8964   -24.8157     5.1354  1.000    7
    2.20   -19.7610   -24.8966   -24.8160     5.1356  1.000    8
    2.30   -19.7610   -24.8968   -24.8162     5.1358  1.000    6
    2.40   -19.7610   -24.8971   -24.8164     5.1361  1.000    7
    2.50   -19.7610   -24.8973   -24.8166     5.1363  1.000    6
    2.60   -19.7610   -24.8975   -24.8169     5.1365  1.000    7
    2.70   -19.7610   -24.8978   -24.8171     5.1368  1.000    6
    2.80   -19.7610   -24.8980   -24.8173     5.1370  1.000    6
    2.90   -19.7610   -24.8982   -24.8176     5.1372  1.000    6
    3.00   -19.7610   -24.8985   -24.8178     5.1375   .999    6
    3.10   -19.7610   -24.8987   -24.8180     5.1377   .999    7
    3.20   -19.7609   -24.8988   -24.8182     5.1379   .999    5
    3.30   -19.7610   -24.8992   -24.8185     5.1382   .999    8
    3.40   -19.7607   -24.8991   -24.8185     5.1384   .999    4
    3.50   -19.7610   -24.8997   -24.8190     5.1387   .999    8
