 TIME   Etot      ELFEN     ELEN       EKIN      mag Nel
     .00   -19.8607   -25.0032   -24.9229     5.1425  1.000   16
     .10   -19.8607   -25.0034   -24.9231     5.1427  1.000    9
     .20   -19.8607   -25.0036   -24.9233     5.1429  1.000    8
     .30   -19.8607   -25.0038   -24.9235     5.1432  1.000    6
     .40   -19.8607   -25.0040   -24.9237     5.1434  1.000    7
     .50   -19.8607   -25.0043   -24.9240     5.1436  1.000    9
     .60   -19.8607   -25.0045   -24.9242     5.1438  1.000    8
     .70   -19.8607   -25.0047   -24.9244     5.1440  1.000    8
     .80   -19.8607   -25.0049   -24.9246     5.1442  1.000    7
     .90   -19.8607   -25.0051   -24.9248     5.1444  1.000    6
    1.00   -19.8607   -25.0053   -24.9250     5.1447  1.000    7
    1.10   -19.8607   -25.0056   -24.9252     5.1449  1.000    7
    1.20   -19.8607   -25.0058   -24.9254     5.1451  1.000    6
    1.30   -19.8607   -25.0060   -24.9257     5.1453  1.000    6
    1.40   -19.8607   -25.0063   -24.9259     5.1456  1.000    7
    1.50   -19.8607   -25.0065   -24.9261     5.1458  1.000    7
    1.60   -19.8607   -25.0067   -24.9264     5.1460  1.000    8
    1.70   -19.8606   -25.0069   -24.9265     5.1462  1.000    7
    1.80   -19.8607   -25.0072   -24.9268     5.1465  1.000    8
    1.90   -19.8607   -25.0074   -24.9271     5.1467  1.000    9
    2.00   -19.8607   -25.0076   -24.9273     5.1469  1.000    8
    2.10   -19.8607   -25.0078   -24.9275     5.1472  1.000    8
    2.20   -19.8607   -25.0081   -24.9277     5.1474  1.000    7
    2.30   -19.8607   -25.0083   -24.9280     5.1476  1.000    7
    2.40   -19.8607   -25.0085   -24.9282     5.1478  1.000    8
    2.50   -19.8607   -25.0088   -24.9284     5.1481  1.000    7
    2.60   -19.8607   -25.0090   -24.9287     5.1483  1.000    6
    2.70   -19.8607   -25.0092   -24.9289     5.1485  1.000    6
    2.80   -19.8607   -25.0095   -24.9291     5.1488  1.000    7
    2.90   -19.8607   -25.0097   -24.9294     5.1490  1.000    7
    3.00   -19.8607   -25.0099   -24.9296     5.1493  1.000    7
    3.10   -19.8607   -25.0102   -24.9298     5.1495  1.000    7
    3.20   -19.8607   -25.0104   -24.9301     5.1497  1.000    7
    3.30   -19.8607   -25.0106   -24.9303     5.1500   .999    6
    3.40   -19.8607   -25.0109   -24.9305     5.1502   .999    6
    3.50   -19.8606   -25.0111   -24.9307     5.1504   .999    6
    3.60   -19.8607   -25.0113   -24.9310     5.1507   .999    6
    3.70   -19.8607   -25.0115   -24.9312     5.1509   .999    6
    3.80   -19.8607   -25.0118   -24.9314     5.1511   .999    6
    3.90   -19.8607   -25.0120   -24.9317     5.1514   .999    6
    4.00   -19.8606   -25.0122   -24.9318     5.1516   .999    5
    4.10   -19.8606   -25.0125   -24.9321     5.1518   .999    7
    4.20   -19.8606   -25.0127   -24.9323     5.1520   .998    6
    4.30   -19.8606   -25.0129   -24.9326     5.1523   .998    6
    4.40   -19.8606   -25.0131   -24.9328     5.1525   .998    6
    4.50   -19.8606   -25.0133   -24.9329     5.1527   .998    5
    4.60   -19.8606   -25.0136   -24.9332     5.1529   .998    7
    4.70   -19.8606   -25.0138   -24.9334     5.1532   .997    6
    4.80   -19.8606   -25.0140   -24.9337     5.1534   .997    6
    4.90   -19.8606   -25.0142   -24.9339     5.1536   .997    6
    5.00   -19.8606   -25.0144   -24.9341     5.1538   .997    6
    5.10   -19.8606   -25.0146   -24.9343     5.1540   .996    5
    5.20   -19.8606   -25.0148   -24.9345     5.1542   .996    4
    5.30   -19.8606   -25.0150   -24.9347     5.1544   .996    4
    5.40   -19.8606   -25.0153   -24.9349     5.1546   .996    5
    5.50   -19.8606   -25.0155   -24.9351     5.1549   .995    5
    5.60   -19.8606   -25.0157   -24.9353     5.1551   .995    6
    5.70   -19.8606   -25.0159   -24.9355     5.1553   .994    5
    5.80   -19.8606   -25.0161   -24.9357     5.1555   .994    6
    5.90   -19.8606   -25.0163   -24.9359     5.1557   .994    5
    6.00   -19.8606   -25.0165   -24.9361     5.1559   .993    4
    6.10   -19.8606   -25.0167   -24.9363     5.1561   .993    5
    6.20   -19.8606   -25.0169   -24.9365     5.1563   .992    5
    6.30   -19.8606   -25.0171   -24.9367     5.1565   .992    4
    6.40   -19.8606   -25.0173   -24.9369     5.1567   .991    4
    6.50   -19.8606   -25.0175   -24.9371     5.1569   .990    4
    6.60   -19.8606   -25.0177   -24.9374     5.1572   .990    4
    6.70   -19.8606   -25.0179   -24.9376     5.1574   .989    4
    6.80   -19.8606   -25.0182   -24.9378     5.1576   .988    5
    6.90   -19.8606   -25.0184   -24.9381     5.1578   .987    4
    7.00   -19.8605   -25.0186   -24.9383     5.1581   .987    4
    7.10   -19.8606   -25.0189   -24.9385     5.1583   .986    6
    7.20   -19.8606   -25.0191   -24.9388     5.1586   .985    4
    7.30   -19.8605   -25.0194   -24.9391     5.1589   .984    4
    7.40   -19.8605   -25.0197   -24.9394     5.1592   .983    4
    7.50   -19.8605   -25.0200   -24.9397     5.1595   .981    4
    7.60   -19.8605   -25.0203   -24.9400     5.1598   .980    4
    7.70   -19.8605   -25.0207   -24.9403     5.1601   .979    4
    7.80   -19.8605   -25.0210   -24.9407     5.1605   .978    4
    7.90   -19.8605   -25.0214   -24.9411     5.1609   .976    4
    8.00   -19.8605   -25.0219   -24.9415     5.1613   .975    3
    8.10   -19.8605   -25.0223   -24.9420     5.1618   .973    4
    8.20   -19.8605   -25.0228   -24.9425     5.1623   .971    3
    8.30   -19.8605   -25.0234   -24.9430     5.1629   .969    3
    8.40   -19.8605   -25.0240   -24.9436     5.1635   .967    4
    8.50   -19.8605   -25.0247   -24.9443     5.1642   .965    4
    8.60   -19.8605   -25.0254   -24.9451     5.1649   .963    3
    8.70   -19.8605   -25.0262   -24.9459     5.1657   .960    4
    8.80   -19.8605   -25.0271   -24.9468     5.1666   .958    4
    8.90   -19.8605   -25.0281   -24.9478     5.1677   .955    4
    9.00   -19.8605   -25.0292   -24.9489     5.1688   .952    3
    9.10   -19.8604   -25.0305   -24.9501     5.1700   .949    4
    9.20   -19.8604   -25.0318   -24.9515     5.1714   .945    3
    9.30   -19.8604   -25.0334   -24.9530     5.1729   .941    4
    9.40   -19.8604   -25.0351   -24.9548     5.1746   .937    3
    9.50   -19.8604   -25.0370   -24.9567     5.1765   .933    3
    9.60   -19.8604   -25.0391   -24.9588     5.1787   .929    4
    9.70   -19.8604   -25.0415   -24.9612     5.1810   .923    3
    9.80   -19.8604   -25.0441   -24.9638     5.1837   .918    4
    9.90   -19.8604   -25.0471   -24.9668     5.1867   .912    4
   10.00   -19.8604   -25.0504   -24.9701     5.1901   .906    3
   10.10   -19.8604   -25.0542   -24.9739     5.1938   .899    4
   10.20   -19.8604   -25.0583   -24.9781     5.1980   .892    3
   10.30   -19.8603   -25.0630   -24.9828     5.2027   .884    3
   10.40   -19.8603   -25.0683   -24.9880     5.2079   .875    4
   10.50   -19.8603   -25.0742   -24.9939     5.2138   .866    3
   10.60   -19.8603   -25.0808   -25.0005     5.2204   .856    4
   10.70   -19.8603   -25.0881   -25.0078     5.2278   .845    3
   10.80   -19.8603   -25.0964   -25.0160     5.2361   .834    3
   10.90   -19.8603   -25.1056   -25.0252     5.2453   .821    4
   11.00   -19.8603   -25.1159   -25.0354     5.2557   .807    3
   11.10   -19.8602   -25.1274   -25.0468     5.2672   .793    4
   11.20   -19.8602   -25.1402   -25.0594     5.2800   .777    4
   11.30   -19.8602   -25.1544   -25.0734     5.2941   .760    4
   11.40   -19.8602   -25.1701   -25.0889     5.3099   .742    3
   11.50   -19.8602   -25.1875   -25.1059     5.3273   .722    4
   11.60   -19.8602   -25.2067   -25.1247     5.3465   .700    4
   11.70   -19.8601   -25.2279   -25.1453     5.3678   .676    3
   11.80   -19.8601   -25.2512   -25.1680     5.3911   .649    3
