  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
    1   117.3955    .182101   4.99987   6.00000   5.56029   3.77486  20.31658   2.45018
    2   117.5572    .182352   4.99993   5.97012   5.56723   3.77886  20.31660   2.45017
    3   117.6717    .182529   4.99996   5.94023   5.57416   3.78286  20.31662   2.45016
    4   117.8175    .182756   4.99996   5.91035   5.58110   3.78687  20.31664   2.45014
    5   117.8879    .182865   5.00003   5.88046   5.58803   3.79087  20.31666   2.45013
    6   118.0133    .183059   5.00009   5.85058   5.59497   3.79487  20.31668   2.45012
    7   118.1604    .183287   5.00009   5.82069   5.60190   3.79888  20.31670   2.45010
    8   118.2445    .183418   5.00012   5.79081   5.60884   3.80288  20.31672   2.45009
    9   118.3726    .183617   5.00019   5.76092   5.61577   3.80688  20.31674   2.45008
   10   118.4615    .183755   5.00025   5.73104   5.62271   3.81089  20.31676   2.45006
   11   118.5501    .183892   5.00028   5.70115   5.62964   3.81489  20.31678   2.45005
   12   118.6966    .184119   5.00031   5.67126   5.63658   3.81890  20.31680   2.45003
   13   118.8061    .184289   5.00038   5.64138   5.64351   3.82290  20.31682   2.45002
   14   118.9015    .184437   5.00044   5.61149   5.65045   3.82690  20.31684   2.45001
   15   119.0284    .184634   5.00050   5.58161   5.65738   3.83091  20.31686   2.44999
   16   119.1473    .184818   5.00053   5.55172   5.66432   3.83491  20.31688   2.44998
   17   119.2480    .184975   5.00060   5.52183   5.67125   3.83891  20.31690   2.44997
