   i site, x     y     z      jk_EMT      DFT         Diff
   1  1  0.00  0.00 -5.00  -1.0481367  -0.9271736  -0.1209631
   2  1  0.00  0.00 -4.80  -1.0341551  -0.9064842  -0.1276710
   3  1  0.00  0.00 -4.60  -1.0634472  -0.9456640  -0.1177832
   4  1  0.00  0.00 -4.40  -1.1120686  -1.0291465  -0.0829221
   5  1  0.00  0.00 -4.20  -1.1441724  -1.0841093  -0.0600630
   6  1  0.00  0.00 -4.00  -1.1428063  -1.0880242  -0.0547821
   7  1  0.00  0.00 -3.80  -1.1234914  -1.0767673  -0.0467241
   8  1  0.00  0.00 -3.60  -1.1164880  -1.0733136  -0.0431744
   9  1  0.00  0.00 -3.40  -1.1326125  -1.0922375  -0.0403750
  10  1  0.00  0.00 -3.20  -1.1507669  -1.1069985  -0.0437685
  11  1  0.00  0.00 -3.00  -1.1421717  -1.1053140  -0.0368577
  12  1  0.00  0.00 -2.80  -1.1025159  -1.0392069  -0.0633089
  13  1  0.00  0.00 -2.60  -1.0585963  -0.9793991  -0.0791972
  14  1  0.00  0.00 -2.40  -1.0456280  -0.9902158  -0.0554122
  15  1  0.00  0.00 -2.20  -1.0771306  -1.0665250  -0.0106056
  16  1  0.00  0.00 -2.00  -1.1313340  -1.1704376   0.0391036
  17  1  0.00  0.00 -1.80  -1.1516515  -1.2338647   0.0822132
  18  1  0.00  0.00 -1.60  -1.0166319  -1.1417186   0.1250866
  19  1  0.00  0.00 -1.40  -0.3742960  -0.5156460   0.1413500
  20  1  0.00  0.00 -1.20   1.8422230   1.7811726   0.0610504
  21  1  0.00  0.00 -1.00   8.5517770   8.4684625   0.0833145
  22  1  0.00  0.00  1.00   7.6765841   7.8769530  -0.2003689
  23  1  0.00  0.00  1.20   0.8766179   1.0755248  -0.1989069
  24  1  0.00  0.00  1.40  -1.3052850  -1.2548463  -0.0504387
  25  1  0.00  0.00  1.60  -1.7566153  -1.7618793   0.0052640
  26  1  0.00  0.00  1.80  -1.5797203  -1.5900298   0.0103095
  27  1  0.00  0.00  2.00  -1.1983959  -1.2322452   0.0338493
  28  1  0.00  0.00  2.20  -0.7846931  -0.8772780   0.0925849
  29  1  0.00  0.00  2.40  -0.4237280  -0.5937513   0.1700233
