 site       X              Y              Z             EMT           DFT
  1   0.0000000000   0.0000000000  -5.0000000000  -1.0217450825  -1.0481367200
  1   0.0000000000   0.0000000000  -4.8000000000  -1.0269300163  -1.0341551400
  1   0.0000000000   0.0000000000  -4.6000000000  -1.1244453134  -1.0634472300
  1   0.0000000000   0.0000000000  -4.4000000000  -1.2858845512  -1.1120685600
  1   0.0000000000   0.0000000000  -4.2000000000  -1.4587776241  -1.1441723700
  1   0.0000000000   0.0000000000  -4.0000000000  -1.5959214403  -1.1428062800
  1   0.0000000000   0.0000000000  -3.8000000000  -1.6740298516  -1.1234914100
  1   0.0000000000   0.0000000000  -3.6000000000  -1.6921168781  -1.1164879700
  1   0.0000000000   0.0000000000  -3.4000000000  -1.6514746865  -1.1326124900
  1   0.0000000000   0.0000000000  -3.2000000000  -1.5501212717  -1.1507669400
  1   0.0000000000   0.0000000000  -3.0000000000  -1.3947662682  -1.1421717100
  1   0.0000000000   0.0000000000  -2.8000000000  -1.2201089172  -1.1025158700
  1   0.0000000000   0.0000000000  -2.6000000000  -1.0776042644  -1.0585963200
  1   0.0000000000   0.0000000000  -2.4000000000  -1.0142696014  -1.0456280500
  1   0.0000000000   0.0000000000  -2.2000000000  -1.0418482900  -1.0771306200
  1   0.0000000000   0.0000000000  -2.0000000000  -1.1211731170  -1.1313340400
  1   0.0000000000   0.0000000000  -1.8000000000  -1.1726553970  -1.1516515500
  1   0.0000000000   0.0000000000  -1.6000000000  -1.0713530193  -1.0166319300
  1   0.0000000000   0.0000000000  -1.4000000000  -0.5317096647  -0.3742959700
  1   0.0000000000   0.0000000000  -1.2000000000   1.3785338572   1.8422229800
  1   0.0000000000   0.0000000000  -1.0000000000   8.3829965507   8.5517769600
  1   0.0000000000   0.0000000000   1.0000000000   7.6898037075   7.6765841000
  1   0.0000000000   0.0000000000   1.2000000000   0.6323333669   0.8766178600
  1   0.0000000000   0.0000000000   1.4000000000  -1.2325800426  -1.3052850000
  1   0.0000000000   0.0000000000   1.6000000000  -1.6349538348  -1.7566152900
  1   0.0000000000   0.0000000000   1.8000000000  -1.5544699351  -1.5797203200
  1   0.0000000000   0.0000000000   2.0000000000  -1.3200978257  -1.1983958900
